id#client_id#other_names
1#1#1-ый дск;первый домостроительный комбинат;первый дск
2#2#aeon;aeon development;аеон девелопмент;корпорация aeon;aeon corporation;geopro mining;geopromining;геопромайнинг
3#3#aliexpress russia;aliexpress;алиэкспресс
4#4#azimut
5#5#balchug capital;балчуг;balchug
6#6#bbk electronics;bbk
7#7#beiersdorf
8#8#bosch;бош
9#9#bvr;бвр;компания бвр
10#10#capital partners
11#11#china railway construction corp.;китайская железнодорожная строительная корпорация;crcc;кжск
12#12#cosmos hotel group;chg;cosmos;гк cosmos
13#13#crocus;crocus group;крокус
15#15#en+;en+ group;эн+ груп;эн плюс;эн+
16#16#engeo development;ингеоцентр
17#17#enka
18#18#erg;erg s.p.a.;eurasian resources group;группа erg
19#19#esta construction;esta;эста констракшен
20#20#fort group;форт групп
21#21#general electric;general electric co.
22#22#gv gold;высочайший;пао высочайший
24#24#herbalife;herbalife ltd.;гербалайф
25#25#highland gold;руссдрагмет;владислав свиблов;хайленд голд
26#26#hines;hines international inc
27#27#huawei;huawei technologies co.;хуавей
28#28#ingrad;инград
30#30#jti;japan tobacco international;дж.т.и. россия;дж.т.и.;джти
31#31#kismet;kismet capital group;кисмет
32#32#kr properties;александр клячин
33#33#l1 technology;l1 technologies inc.;л1
34#34#level;level group;левел
35#35#lg electronics;lg corp.;lg;элджи
36#36#limak;limak holding
37#37#luxoft company;luxoft ltd.;luxoft;luxoft ltd
38#38#lvmh moet hennessy louis vuitton;louis vuitton;moet;hennessy;christian dior;givenchy;lvmh
39#39#malltech;моллтек
40#40#merck & ko;merck & co.;merck;мерк;merck & co
41#41#metro group;metro group inc.;metro
42#42#mlp;mlp ag;multinational logistics partnership;ук mlp
43#43#mr group;мр групп
44#44#msref;morgan stanley real estate fund;morgan stanley
45#45#nord gold;nord gold n.v.;нордголд;nordgold
46#46#o1 properties
47#47#obi;оби
48#48#ocs;ocs distribution
49#49#ozon;ozon holdings plc;озон
51#51#pernod ricard
52#52#ppf;ppf real estate
53#53#raven;raven property group;raven russia;raven property
54#54#rd group;тц времена года;тц dream house;тц времена года;тц dream house
55#55#reckitt benckiser;reckitt benckiser group plc;рекитт бенкизер
56#56#renaissance heavy industries;ренейссанс хэви индастрис
57#57#riverstretch;riverstretch trading & investments;rt&i;rt & i
58#58#sabiero;sabiero holdings limited
59#59#samsung electronics;samsung group;samsung;самсунг
60#60#sap
62#62#siemens;siemens ag;сименс
63#63#tp-link;tp-link technologies co.;тп линк
64#64#unipro;юнипро;uniper
65#65#vesper;веспер
66#66#vi holding;asterus development
67#67#vos''hod;восход
69#69#yamata;ямата;cengiz duyar;duyar
70#70#а101;группа компаний а101;сафмар
71#71#абсолют недвижимость
72#72#авиакомпания аврора;оао авиакомпания аврора
73#73#авиакомпания азимут
74#74#авиакомпания волга-днепр;ооо авиакомпания волга-днепр;волга-днепр
75#75#авиакомпания победа;ооо авиакомпания победа
76#76#авиакомпания россия
77#77#авиакомпания сибирь
78#78#авиапарк;тц авиапарк
79#79#авито;avito
80#80#автобан;ао дск автобан;строительно-инвестиционный холдинг автобан
81#81#автоваз;пао автоваз;ваз
82#82#автотор;ооо автотор;росавтодор
83#83#агро-менеджмент
84#84#адидас;adidas ag;adidas
85#85#азбука вкуса;сеть супермаркетов азбука вкуса
86#86#акадо;акадо телеком;комкор;акадо телеком
87#87#акрон;оао акрон
88#88#алроса;ак алроса
89#89#антипинский нпз;антипинский нефтеперерабатывающий завод;тюменский нефтеперерабатывающий завод;дмитрий мазуров;тюменский нпз
90#90#ао минудобрения;минудобрения
91#91#апк возрождение
92#92#апрель эстейт холдинг
93#93#архбум;ао архбум;архангельский целлюлозно-бумажный комбинат;архангельский цбк;ацбк
14#14#dihouse holding;dihouse;дихаус
29#29#inventive retail group holding;inventive retail group;irg;re:store;restore;рестор
23#23#heineken;heineken nv;карлсберг;амстел;очаково;хейнекен;carlsberg
94#94#афк система;пао афк система;афк;афкс
95#95#аэмз холдинг;аэмз;абинский электрометаллургический завод
96#96#внуково;ао международный аэропорт внуково;аэропорт внуково
97#97#домодедово;зао международный аэропорт домодедово;аэропорт домодедово
98#98#пулково;оао международный аэропорт пулково;аэропорт пулково
99#99#шереметьево;оао международный аэропорт шереметьево;аэропорт шереметьево
100#100#аэропорты регионов;ук аэропорты регионов
101#101#аэрофлот;пао аэрофлот
102#102#базэл;аэродинамика;базовый элемент
103#103#балтийский метанол;ооо балтийский метанол
104#104#башнефть;пао анк башнефть
105#105#башня меркурий;меркурий тауэр
106#106#бейкер хьюз;baker hughes
107#107#белком;бц белком
109#109#биннофарм;биннофарм групп
110#110#биокад;зао биокад;biocad
111#111#борец;ооо производственная компания борец;пк борец;borets
113#113#бургер кинг;burger king;бк
114#114#бц комсити;comcity;комсити
115#115#бэринг восток;baring vostok;baring vostok capital partners
117#117#вгтрк;фгуп вгтрк
118#118#вектор рейл;ао вектор рейл
119#119#венталл;лп южные врата
122#122#вершина;тд вершина
123#123#виктория балтия;ооо виктория балтия;виктория
124#124#вк;vk;вконтакте;mail.ru group
125#125#вкусвилл;сеть магазинов вкусвилл
127#127#волга-флот;ао волга-флот;волжское пароходство
128#128#горьковский автомобильный завод;группа газ
129#129#газпром;пао газпром
130#130#газпром нефть;пао газпром нефть;газпромнефть
131#131#газпромэнергохолдинг;мосэнерго;моэк;тгк-1;огк-2;газпром энергохолдинг;гэх
132#132#генериум;ао генериум;generium
133#133#геттакси;гетт;gett
135#135#гк касперский;касперский;лаборатория касперского
136#136#гк регионы
137#137#гк степь;агрохолдинг степь
138#138#гк тэн;sis development;митино спорт сити;группа тэн;группа компаний тэн
139#139#главстрой;оао главстрой
140#140#глобал портс;global ports;globalports
141#141#глобус;сеть гипермаркетов глобус;globus
142#142#гранд сити;ооо гранд сити;гранд тауэр;grand tower
143#143#группа pola;водоходъ
144#144#группа гмс;гидромашсервис;гмс
145#145#группа дон;гск дон
146#146#группа псн;psn group
147#147#гтлк;пао гтлк;государственная транспортная лизинговая компания
148#148#гута;группа гута
149#149#дальполиметалл;ао гмк дальполиметалл;гмк дальполиметалл;гок дальполиметалл
152#152#доминант;гк доминант;группа компаний доминант
153#153#домус-тевади;ооо домус-тевади
154#154#евраз;распадская;evraz;роман абрамович;evraz group
155#155#евросибэнерго;оао евросибэнерго
158#158#забайкальский терминал;ооо забайкальский терминал;забайкальский зерновой терминал;ззт
159#159#завидово;ооо завидово девелопмент;комплекс отдыха завидово
160#160#зарубежнефть;оао зарубежнефть
161#161#икеа;ikea international group;ikea
162#162#икс холдинг;интеллектуальные компьютерные системы;кнс груп;yadro
163#163#илим;ао группа илим;international paper
164#164#индитекс;inditex
165#165#инк;ооо иркутская нефтяная компания;иркутская нефтяная компания
166#166#интеко;зао интеко
167#167#интер рао;пао интер рао
168#168#инфраструктурный интегратор;ооо инфраструктурный интегратор
156#156#еврохим;ао минерально-химическая компания еврохим;андрей мельниченко
157#157#ехсз-2;еврохим северо-запад;андрей мельниченко;еврохим северо-запад-2;еврохим северо-запад 2
134#134#гк агрокомплекс;зао фирма агрокомплекс;ао фирма агрокомплекс имени н. и. ткачёв;агрокомплекс выселковский;агрокомплекс им. н.и. ткачева;агрокомплекс;агрокомплекс выселовский;агрокомплекс выселовского;агрокомплекс ткачева;агрокомплекс ткачёва
126#126#вкусно - и точка;александр говор;вкусно и точка;макдональдс;вкусно — и точка
169#169#казаньоргсинтез;пао казаньоргсинтез;органический синтез
170#170#казахмыс;kazakhmys
171#171#казахстанские коммунальные системы;тоо казахстанские коммунальные системы;ккс
172#172#казачий хутор
173#173#камаз
174#174#карат завод;карат
175#175#квадра;пао квадра;ао квадра
176#176#кемерово азот;као азот;кемеровского азота;ао азот;кемеровском азоте;гк азот
177#177#кока кола;добрый кола;добрый;multon partners;мултон партнерс;coca-cola
178#178#колмар;ооо ук колмар;ук колмар;группа колмар;cергей цивилев
179#179#комплексные инвестиции;ао комплексные инвестиции
180#180#комптек холдинг;comptek
181#181#копитания;ооо копитания
182#182#корпорация а.н.д.;ао корпорация а.н.д.;корпорация анд
183#183#кортрос;гк кортрос
184#184#красное и белое;сеть магазинов красное & белое;дикси;бристоль;красное & белое;оао дикси групп
185#185#ланит;группа компаний ланит
186#186#легендагро;гк легендагро
188#188#ленэнерго;пао ленэнерго;россети ленэнерго
189#189#леруа мерлен;leroy merlin s.a.;леруа;leroy merlin
190#190#лоэск;ленинградская областная электросетевая компания;ленэлектросети
191#191#лср;оао группа лср;группа лср
192#192#лукойл;пао лукойл;вагит алекперов
194#194#м.видео;оао компания м.видео;эльдорадо;гуцериев;мвидео;м видео;м.видео-эльдорадо
195#195#магнит;сеть магазинов магнит;сергей галицкий;магнит косметик;магнит аптека;сеть магазинов магнит аптека;сеть магазинов магнит косметик
197#197#максидом;ооо максидом
198#198#манежная площадь;ооо манежная площадь;отцр
199#199#марс;mars;ооо марс;компания марс
200#200#мегаполис;группа компаний мегаполис
201#201#мегафон;оао мегафон
202#202#мединвестгрупп;гк мединвестгрупп;мединвест;группа миг
203#203#медси;ао гк медси
204#204#металлоинвест;холдинг металлоинвест;usm;хк юэсэv;usm holdings;алишер усманов;usm строительство
205#205#метафракс;пао метафракс;биннофарм групп
206#206#мечел;пао мечел;группа мечел;игорь зюзин
207#207#мираторг;ооо агропромышленный холдинг мираторг
208#208#ммк;пао магнитогорский металлургический комбинат;магнитогорский металлургический комбинат;магнитка;виктор рашников;павел шиляев
209#209#московское речное пароходство
210#210#мостотрест;оао мостотрест;mstt
211#211#моя цена;сеть магазинов моя цена
212#212#мсу-1;монолитное строительное управление-1;монолитное строительное управление
213#213#мтс;мобильные телесистемы;мгтс;мтс банк
214#214#мульти нутришн;ооо мульти нутришн рус
215#215#нанолек
216#216#невский центр;тк невский центр
217#217#независимость;группа компаний независимость
218#218#нестле россия;ооо нестле россия;нестле;nestle
219#219#нлмк;оао новолипецкий металлургический комбинат;новолипецкий металлургический комбинат;владимир лисин
220#220#новапорт;ооо новапорт;роман троценко;аэропоты большой страны
221#221#новатэк;оао новатэк;арктикгаз;акртик спг;леонид михельсон;арктик спг 2;ямал спг;арктик спг2;арктик спг-2;обский спг;мурманский спг
222#222#новоангарский обогатительный комбинат;нок
224#224#норильский никель;гмк норильский никель;норникель;владимир потанин;интеррос;гмк норникель
225#225#объединенная авиастроительная корпорация;пао объединённая авиастроительная корпорация;оак
226#226#объединенная зерновая компания;ао объединённая зерновая компания;озк
227#227#объединенная машиностроительная группа;омг
230#230#омк;ао объединённая металлургическая компания;объединённая металлургическая компания;анатолий седых;эколант;вмз;выксунский металлургический завод
231#231#орими;группа компаний орими трэйд;гк орими
232#232#пао химпром;химпром
187#187#лента;ооо лента;монетка
233#233#патеро;ооо патеро-девелопмент;патеро девелопмент
234#234#пепсико холдингс;ооо пепсико холдингс;пепсико;pepsico;пепси;pepsi
235#235#первая грузовая компания;ао первая грузовая компания;пгк
236#236#первая портовая компания;ппк
237#237#петрович;ооо стд петрович;строительный торговый дом петрович;стд петрович
238#238#пмх;промышленно-металлургический холдинг;евгений зубицкий;кокс
239#239#полиметалл;оао полиметалл;polymetal;александр несис
240#240#полюс;пао полюс золото;полюс золото;polyus;вандл холдингс лимитед;фонд поддержки исламских организаций
241#241#почта россии;фгуп почта россии
242#242#прогород;ооо прогород;slava
243#243#прогресс;ао прогресс;производственно-торговая компания прогресс;торговая компания прогресс
244#244#продимекс;ооо продимекс-холдинг
245#245#продо;ооо продо;группа продо
246#246#пфпг;пермская финансово-производственная группа;эр-телеком
247#247#ракиб;российская ассоциация криптоиндустрии и блокчейна
248#248#рг-девелопмент;ооо рг-девелопмент;рг девелопмент
249#249#ржд;оао российские железные дороги;российские железные дороги;мтк север-юг;высокоскоростная магистраль;сшх;северный широтный ход;северного широтного хода;всм
250#250#рз агро
252#252#рм рейл;rm rail
253#253#рмк;зао русская медная компания;русская медная компания
254#254#рольф;группа компаний рольф;компания рольф;гк рольф
255#255#романов двор
256#256#росатом;гк росатом;алексей лихачев
257#257#роснано;оао роснано
258#258#роснефть;пао нк роснефть
259#259#российские сети;группа россети;россети
260#260#ростелеком;оао ростелеком
261#261#ррпк;ооо русская рыбопромышленная компания;русская рыбопромышленная компания
262#262#румелко;ооо румелко;румелко-агро
263#263#русагро;ооо группа компаний русагро;вадим мошкович
264#264#русал;оао ок русал;rusal;sual;олег дерипаска
265#265#русгидро;оао русгидро
267#267#русский водород;ао русский водород;росхим;донбиотех;ао бск;башкирская содовая компания;метафракс;крымская содовая компания;русский титан;донские биотехнологии
268#268#русский уголь;ао русский уголь
269#269#русснефть;пао нк русснефть;михаил гуцериев
270#270#р-фарм;зао р-фарм;р фарм
271#271#рыбопромышленный холдинг восход
272#272#самокат;ао самокат
273#273#сан инбев;ао сан инбев;эфес
274#274#сатевис;ооо сатевис
275#275#сбер маркет;сбермаркет;иснстамарт;instamart
276#276#сбербанклизинг;ао сбербанклизинг;сберлизинг;сбербанк лизинг
278#278#свеза;группа компаний свеза;sveza
279#279#связной;svyaznoy n.v.;svyaznoy
280#280#сгк;ооо сибирская генерирующая компания;сибирская генерирующая компания
281#281#сг-транс;ао сг-транс;сг транс
282#282#севастополь телеком;ао севастополь телеком;sevtelecom;севтелеком
283#283#северсталь;пао северсталь;севегрупп;алексей мордашов
284#284#сегежа;группа компаний сегежа;segezha group;сегежа групп;михаил шамолин
285#285#сеть телевизионных станций;корпорация стс;стс
286#286#сибирский антрацит;ао сибирский антрацит;разрез колыванский;сибантрацит
287#287#сибур;сибур холдинг;агхк;амурский газохимический комплекс;амурский гхк
288#288#силовые машины;пао силовые машины;силмаш
289#289#синара девелопмент;синара-девелопмент;архыз
290#290#синема парк;ао синема парк
292#292#ск мост;группа компаний ск мост
293#293#славкалий;иооо славкалий
294#294#смайнекс-интеко;смайнекс;sminex-интеко;sminex
295#295#смартавиа;smartavia
296#296#совкомфлот;оао совкомфлот
297#297#содружество;гк содружество;группа компаний содружество;гк содружество
298#298#солар системс;ооо солар системс;солар
299#299#софтлайн;softline group;softline
301#301#стройтрансгаз;оао стройтрансгаз
302#302#суэк;оао сибирская угольная энергетическая компания;сибирская угольная энергетическая компания;cгк;андрей мельниченко
303#303#т плюс;группа т плюс
251#251#российские коммунальные системы
304#304#таиф;группа компаний таиф;сибур-рт;таиф-нк
305#305#татнефть;пао татнефть
306#306#татэнерго;ао татэнерго
307#307#ташир;группа компаний ташир;tashir
308#308#тгк-10;оао тгк-10;территориальная генерирующая компания № 10;тгк 10
309#309#технониколь;корпорация технониколь
310#310#техносерв;группа компаний техносерв;т1
311#311#тмк;оао трубная металлургическая компания;трубная металлургическая компания;рнк;русская нержавеющая компания;втз;дмитрий пумпяский
312#312#тмх;трансмашхолдинг
313#313#тнс энерго;пао гк тнс энерго
317#317#транснефть;ак транснефть
318#318#транстехсервис-ит;ооо транстехсервис-ит
319#319#трансфин-м;ооо трансфин-м
320#320#треолан холдинг;треолавший холдинг;треолан;treolan
321#321#турухан;авиакомпания турухан
322#322#уаз;ульяновский автомобильный завод;ульяновский автозавод
323#323#угмк;уральская горно-металлургическая компания;искандер махмудов;андрей козицын;андрей бокарев;кузбассразрезуголь;угмк-холдинг;удоканская медь;кру
324#324#уралкалий;пао уралкалий;дмитрий мазепин
326#326#уральские авиалинии;авиакомпания уральские авиалинии;ural airlines
327#327#фармстандарт;оао фармстандарт;pharmstandard
328#328#фгк;ао федеральная грузовая компания;федеральная грузовая компания
330#330#филип моррис;philip morris
331#331#формула кино
332#332#фортум;оао фортум;fortum;форвард энерго
333#333#фосагро;пао фосагро;андрей гурьев
334#334#фпк;ао федеральная пассажирская компания;федеральная пассажирская компания
